d_1;score;Hotels;distance_from_sea;Companies;Houses;mun_category;Airports;Finance;CO2(tons/km^2);Evcs;Gas
ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ;1;0;11576;4321;2308;4;0;111140.33;45238.61134;44;1.847
ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ;3;206;8916;3390;1202;4;0;87208.88;7177.153066;34;1.795
ΔΗΜΟΣ ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ;2;0;11417;2621;1327;4;0;67426.375;32839.54906;25;1.820
ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ;2;0;7916;9047;4317;4;0;325130.5;72836.57922;124;1.709
ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ;2;0;4972;1831;650;4;0;65848.99;62045.24348;25;1.749
ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ;1;197;14423;7382;3147;4;0;189773.27;52235.01274;65;1.755
ΔΗΜΟΣ ΚΙΜΩΛΟΥ;1;209;334;154;4;1;1;4483.702;203.3170312;1;2.144
ΔΗΜΟΣ ΣΕΡΙΦΟΥ;1;281;3305;237;7;1;1;6903.914;221.7845319;1;2.144
ΔΗΜΟΣ ΣΙΦΝΟΥ;1;965;2523;520;3;1;1;15119.462;495.093748;2;2.219
ΔΗΜΟΣ ΜΥΚΟΝΟΥ;3;13394;2153;2493;17;2;2;53793.45;1629.271557;9;2.088
ΔΗΜΟΣ ΑΜΟΡΓΟΥ;2;758;1943;282;2;1;2;10783.936;161.4883054;1;2.200
ΔΗΜΟΣ ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ;3;6728;6835;2846;20;2;2;108728.41;415.0386064;19;2.000
ΔΗΜΟΣ ΠΑΡΟΥ;3;7158;4560;2686;11;2;2;78423.63;963.1075623;9;2.089
ΔΗΜΟΣ ΑΝΤΙΠΑΡΟΥ;2;241;1595;237;0;1;1;6936.842;369.1429023;2;2.250
ΔΗΜΟΣ ΡΟΔΟΥ;2;98932;12062;12312;1443;3;2;685183.25;668.5625428;97;1.915
ΔΗΜΟΣ ΣΥΜΗΣ;2;450;1952;245;0;1;1;13692.579;283.3923909;3;2.129
